Date,Price,Open,High,Low,Change %
6-Nov-19,71.01,70.769,71.036,70.769,0.33
5-Nov-19,70.775,70.804,70.855,70.625,-0.02
4-Nov-19,70.789,70.552,70.802,70.552,0.04
1-Nov-19,70.76,70.972,70.99,70.76,-0.31
31-Oct-19,70.98,70.762,71.065,70.724,0.04
30-Oct-19,70.953,70.871,71.026,70.84,0.09
29-Oct-19,70.89,70.75,70.92,70.69,0.2
28-Oct-19,70.745,70.822,70.842,70.684,-0.11
25-Oct-19,70.82,71.045,71.073,70.782,-0.2
24-Oct-19,70.965,70.715,71.085,70.715,0.34
23-Oct-19,70.725,71.005,71.033,70.725,-0.12
22-Oct-19,70.809,70.912,71.007,70.809,-0.16
21-Oct-19,70.925,71.075,71.075,70.778,-0.23
18-Oct-19,71.09,71.2,71.32,71.04,-0.06
17-Oct-19,71.13,71.362,71.475,71.096,-0.33
16-Oct-19,71.364,71.562,71.733,71.348,-0.19
15-Oct-19,71.5,71.248,71.605,71.22,0.37
14-Oct-19,71.237,70.894,71.249,70.74,0.44
11-Oct-19,70.924,70.816,71.091,70.799,-0.09
10-Oct-19,70.99,70.96,71.165,70.96,-0.18
9-Oct-19,71.12,71.18,71.23,70.945,-0.14
8-Oct-19,71.22,70.996,71.233,70.933,0.35
7-Oct-19,70.975,70.959,71.106,70.913,0.21
4-Oct-19,70.825,70.81,71.04,70.765,-0.29
3-Oct-19,71.03,71.21,71.37,70.865,-0.17
2-Oct-19,71.15,71.117,71.368,71.1,0.06
1-Oct-19,71.11,70.655,71.17,70.655,0.66
30-Sep-19,70.645,70.425,70.885,70.358,0.19
27-Sep-19,70.509,70.951,70.98,70.364,-0.64
26-Sep-19,70.964,71.035,71.036,70.837,-0.03
25-Sep-19,70.988,70.976,71.154,70.947,0.02
24-Sep-19,70.971,70.796,71.066,70.736,0.24
23-Sep-19,70.799,71.023,71.053,70.779,-0.39
20-Sep-19,71.075,71.205,71.205,70.685,-0.42
19-Sep-19,71.375,71.345,71.385,71.05,0.32
18-Sep-19,71.145,71.515,71.53,71.145,-0.48
17-Sep-19,71.49,71.827,71.99,71.366,-0.13
16-Sep-19,71.58,71.69,71.69,71.41,0.84
13-Sep-19,70.985,70.972,71.16,70.847,0.03
12-Sep-19,70.967,71.588,71.588,70.917,-0.85
11-Sep-19,71.577,71.877,71.897,71.514,-0.41
10-Sep-19,71.875,71.755,72.002,71.739,0.14
9-Sep-19,71.778,71.728,71.787,71.504,0.19
6-Sep-19,71.645,71.887,71.928,71.605,-0.39
5-Sep-19,71.928,71.986,72.011,71.797,-0.08
4-Sep-19,71.989,72.2,72.315,71.944,-0.25
3-Sep-19,72.17,71.96,72.412,71.96,0.28
2-Sep-19,71.969,71.467,72.003,71.467,0.72
30-Aug-19,71.453,71.772,71.817,71.357,-0.33
29-Aug-19,71.69,71.913,72.1,71.624,-0.19
28-Aug-19,71.829,71.564,71.904,71.492,0.4
27-Aug-19,71.543,72.03,72.03,71.383,-0.67
26-Aug-19,72.025,71.92,72.26,71.863,0.72
23-Aug-19,71.513,71.96,72.061,71.513,-0.58
22-Aug-19,71.93,71.6,72.004,71.6,0.69
21-Aug-19,71.439,71.562,71.623,71.353,-0.15
20-Aug-19,71.549,71.523,71.827,71.523,0.14
19-Aug-19,71.451,71.213,71.5,71.063,0.42
16-Aug-19,71.155,71.365,71.492,71.045,-0.91
15-Aug-19,71.81,71.507,71.829,71.309,0.75
14-Aug-19,71.275,70.995,71.365,70.845,-0.2
13-Aug-19,71.418,71.132,71.493,71.032,0.19
12-Aug-19,71.283,71.014,71.367,70.993,0.51
9-Aug-19,70.924,70.443,70.924,70.443,0.72
8-Aug-19,70.42,71.17,71.17,70.42,-1.02
7-Aug-19,71.145,70.965,71.195,70.604,0.15
6-Aug-19,71.04,70.81,71.04,70.47,0.31
5-Aug-19,70.821,70.117,70.839,70.117,1.61
2-Aug-19,69.7,69.23,69.7,69.21,0.99
1-Aug-19,69.017,69.267,69.267,69.002,0.21
31-Jul-19,68.875,68.853,68.96,68.761,0.02
30-Jul-19,68.862,68.766,68.903,68.663,0.16
29-Jul-19,68.755,68.9,68.965,68.705,-0.18
26-Jul-19,68.88,69.151,69.151,68.816,-0.23
25-Jul-19,69.041,68.992,69.078,68.885,0.09
24-Jul-19,68.98,69.02,69.109,68.921,-0.08
23-Jul-19,69.033,68.944,69.059,68.903,0.15
22-Jul-19,68.93,68.955,69.07,68.88,0.1
19-Jul-19,68.86,68.81,68.955,68.722,0.01
18-Jul-19,68.855,68.773,69.005,68.718,0.01
17-Jul-19,68.846,68.688,68.904,68.64,0.29
16-Jul-19,68.65,68.54,68.77,68.521,0.15
15-Jul-19,68.545,68.535,68.615,68.477,-0.02
12-Jul-19,68.56,68.46,68.695,68.433,0.22
11-Jul-19,68.41,68.414,68.495,68.28,-0.01
10-Jul-19,68.419,68.62,68.695,68.318,-0.21
9-Jul-19,68.565,68.665,68.858,68.513,0
8-Jul-19,68.566,68.582,68.767,68.497,0.17
5-Jul-19,68.45,68.539,68.785,68.385,-0.11
4-Jul-19,68.527,68.817,68.914,68.489,-0.4
3-Jul-19,68.8,68.885,68.963,68.795,-0.13
2-Jul-19,68.89,68.924,69.075,68.87,0.01
1-Jul-19,68.885,68.944,69.09,68.83,-0.09
28-Jun-19,68.95,69.048,69.125,68.866,-0.2
27-Jun-19,69.088,69.21,69.353,69.03,-0.23
26-Jun-19,69.245,69.32,69.518,69.11,-0.13
25-Jun-19,69.334,69.266,69.439,69.238,0.09
24-Jun-19,69.273,69.629,69.63,69.264,-0.49
21-Jun-19,69.615,69.755,69.76,69.504,0.14
20-Jun-19,69.52,69.49,69.675,69.334,-0.19
19-Jun-19,69.65,69.55,69.808,69.5,0.06
18-Jun-19,69.61,69.868,69.891,69.609,-0.34
17-Jun-19,69.85,69.81,69.982,69.74,0.02
14-Jun-19,69.833,69.566,69.865,69.53,0.44
13-Jun-19,69.53,69.379,69.58,69.314,0.22
12-Jun-19,69.375,69.414,69.455,69.257,-0.01
11-Jun-19,69.385,69.534,69.534,69.342,-0.22
10-Jun-19,69.535,69.375,69.685,69.375,0.26
7-Jun-19,69.355,69.146,69.551,69.114,0.27
6-Jun-19,69.165,69.405,69.46,69.165,-0.32
5-Jun-19,69.385,69.334,69.423,69.178,0.14
4-Jun-19,69.291,69.068,69.343,69.033,0.17
3-Jun-19,69.171,69.618,69.622,69.128,-0.59
