Price,Open,High,Low,Change %
71.01,70.76899999999999,71.036,70.76899999999999,0.33
70.775,70.804,70.855,70.625,-0.02
70.789,70.55199999999999,70.80199999999999,70.55199999999999,0.04
70.76,70.972,70.99,70.76,-0.31
70.98,70.762,71.065,70.72399999999999,0.04
70.953,70.87100000000001,71.02600000000001,70.84,0.09
70.89,70.75,70.92,70.69,0.2
70.745,70.822,70.842,70.684,-0.11
70.82,71.045,71.07300000000001,70.782,-0.2
70.965,70.715,71.085,70.715,0.34
70.725,71.005,71.033,70.725,-0.12
70.809,70.91199999999999,71.007,70.809,-0.16
70.925,71.075,71.075,70.778,-0.23
71.09,71.2,71.32,71.04,-0.06
71.13,71.362,71.475,71.096,-0.33
71.36399999999999,71.562,71.733,71.348,-0.19
71.5,71.248,71.605,71.22,0.37
71.237,70.89399999999999,71.249,70.74,0.44
70.92399999999999,70.816,71.09100000000001,70.79899999999999,-0.09
70.99,70.96,71.165,70.96,-0.18
71.12,71.18,71.23,70.945,-0.14
71.22,70.99600000000001,71.233,70.933,0.35
70.975,70.959,71.10600000000001,70.913,0.21
70.825,70.81,71.04,70.765,-0.29
71.03,71.21,71.37,70.865,-0.17
71.15,71.117,71.368,71.1,0.06
71.11,70.655,71.17,70.655,0.66
70.645,70.425,70.885,70.358,0.19
70.509,70.95100000000001,70.98,70.36399999999999,-0.64
70.964,71.035,71.036,70.837,-0.03
70.988,70.976,71.154,70.947,0.02
70.971,70.796,71.066,70.736,0.24
70.79899999999999,71.023,71.053,70.779,-0.39
71.075,71.205,71.205,70.685,-0.42
71.375,71.345,71.385,71.05,0.32
71.145,71.515,71.53,71.145,-0.48
71.49,71.827,71.99,71.366,-0.13
71.58,71.69,71.69,71.41,0.84
70.985,70.972,71.16,70.847,0.03
70.967,71.58800000000001,71.58800000000001,70.917,-0.85
71.577,71.877,71.89699999999999,71.514,-0.41
71.875,71.755,72.002,71.73899999999999,0.14
71.778,71.72800000000001,71.78699999999999,71.50399999999999,0.19
71.645,71.887,71.928,71.605,-0.39
71.928,71.986,72.01100000000001,71.797,-0.08
71.98899999999999,72.2,72.315,71.944,-0.25
72.17,71.96,72.41199999999999,71.96,0.28
71.969,71.467,72.003,71.467,0.72
71.453,71.77199999999999,71.817,71.357,-0.33
71.69,71.913,72.1,71.624,-0.19
71.829,71.564,71.904,71.492,0.4
71.543,72.03,72.03,71.383,-0.67
72.025,71.92,72.26,71.863,0.72
71.513,71.96,72.061,71.513,-0.58
71.93,71.6,72.00399999999999,71.6,0.69
71.439,71.562,71.623,71.35300000000001,-0.15
71.54899999999999,71.523,71.827,71.523,0.14
71.45100000000001,71.21300000000001,71.5,71.063,0.42
71.155,71.365,71.492,71.045,-0.91
71.81,71.507,71.829,71.309,0.75
71.275,70.995,71.365,70.845,-0.2
71.418,71.132,71.493,71.032,0.19
71.283,71.014,71.367,70.993,0.51
70.92399999999999,70.443,70.92399999999999,70.443,0.72
70.42,71.17,71.17,70.42,-1.02
71.145,70.965,71.195,70.604,0.15
71.04,70.81,71.04,70.47,0.31
70.821,70.117,70.839,70.117,1.61
69.7,69.23,69.7,69.21,0.99
69.017,69.267,69.267,69.002,0.21
68.875,68.85300000000001,68.96,68.76100000000001,0.02
68.862,68.766,68.903,68.663,0.16
68.755,68.9,68.965,68.705,-0.18
68.88,69.15100000000001,69.15100000000001,68.816,-0.23
69.041,68.992,69.078,68.885,0.09
68.98,69.02,69.109,68.921,-0.08
69.033,68.944,69.059,68.903,0.15
68.93,68.955,69.07,68.88,0.1
68.86,68.81,68.955,68.722,0.01
68.855,68.773,69.005,68.718,0.01
68.846,68.688,68.904,68.64,0.29
68.65,68.54,68.77,68.521,0.15
68.545,68.535,68.615,68.477,-0.02
68.56,68.46,68.695,68.433,0.22
68.41,68.414,68.495,68.28,-0.01
68.419,68.62,68.695,68.318,-0.21
68.565,68.665,68.858,68.513,0.0
