Price,Open,High,Low
71.49600000000001,71.675,71.685,71.47800000000001
71.689,71.705,71.76,71.609
71.792,71.756,71.876,71.66199999999999
71.75,71.79,71.905,71.717
71.74600000000001,71.833,71.916,71.643
71.83,71.92,72.015,71.605
71.945,71.665,71.945,71.565
71.65,71.8,71.878,71.594
71.96600000000001,72.082,72.252,71.857
72.15,71.76,72.15,71.657
71.79,71.582,71.79,71.544
71.57,71.37,71.61,71.29
71.36,71.28,71.36399999999999,71.165
71.047,71.018,71.118,70.88600000000001
71.01,70.76899999999999,71.036,70.76899999999999
70.775,70.804,70.855,70.625
70.789,70.55199999999999,70.80199999999999,70.55199999999999
70.76,70.972,70.99,70.76
70.98,70.762,71.065,70.72399999999999
70.953,70.87100000000001,71.02600000000001,70.84
70.89,70.75,70.92,70.69
70.745,70.822,70.842,70.684
70.82,71.045,71.07300000000001,70.782
70.965,70.715,71.085,70.715
70.725,71.005,71.033,70.725
70.809,70.91199999999999,71.007,70.809
70.925,71.075,71.075,70.778
71.09,71.2,71.32,71.04
71.13,71.362,71.475,71.096
71.36399999999999,71.562,71.733,71.348
71.5,71.248,71.605,71.22
71.237,70.89399999999999,71.249,70.74
70.92399999999999,70.816,71.09100000000001,70.79899999999999
70.99,70.96,71.165,70.96
71.12,71.18,71.23,70.945
71.22,70.99600000000001,71.233,70.933
70.975,70.959,71.10600000000001,70.913
70.825,70.81,71.04,70.765
71.03,71.21,71.37,70.865
71.15,71.117,71.368,71.1
71.11,70.655,71.17,70.655
70.645,70.425,70.885,70.358
70.509,70.95100000000001,70.98,70.36399999999999
70.964,71.035,71.036,70.837
70.988,70.976,71.154,70.947
70.971,70.796,71.066,70.736
70.79899999999999,71.023,71.053,70.779
71.075,71.205,71.205,70.685
71.375,71.345,71.385,71.05
71.145,71.515,71.53,71.145
71.49,71.827,71.99,71.366
71.58,71.69,71.69,71.41
70.985,70.972,71.16,70.847
70.967,71.58800000000001,71.58800000000001,70.917
71.577,71.877,71.89699999999999,71.514
71.875,71.755,72.002,71.73899999999999
71.778,71.72800000000001,71.78699999999999,71.50399999999999
71.645,71.887,71.928,71.605
71.928,71.986,72.01100000000001,71.797
71.98899999999999,72.2,72.315,71.944
72.17,71.96,72.41199999999999,71.96
71.969,71.467,72.003,71.467
71.453,71.77199999999999,71.817,71.357
71.69,71.913,72.1,71.624
71.829,71.564,71.904,71.492
71.543,72.03,72.03,71.383
72.025,71.92,72.26,71.863
71.513,71.96,72.061,71.513
71.93,71.6,72.00399999999999,71.6
71.439,71.562,71.623,71.35300000000001
71.54899999999999,71.523,71.827,71.523
71.45100000000001,71.21300000000001,71.5,71.063
71.155,71.365,71.492,71.045
71.81,71.507,71.829,71.309
71.275,70.995,71.365,70.845
71.418,71.132,71.493,71.032
71.283,71.014,71.367,70.993
70.92399999999999,70.443,70.92399999999999,70.443
70.42,71.17,71.17,70.42
71.145,70.965,71.195,70.604
71.04,70.81,71.04,70.47
70.821,70.117,70.839,70.117
69.7,69.23,69.7,69.21
69.017,69.267,69.267,69.002
68.875,68.85300000000001,68.96,68.76100000000001
68.862,68.766,68.903,68.663
68.755,68.9,68.965,68.705
68.88,69.15100000000001,69.15100000000001,68.816
69.041,68.992,69.078,68.885
68.98,69.02,69.109,68.921
69.033,68.944,69.059,68.903
68.93,68.955,69.07,68.88
68.86,68.81,68.955,68.722
68.855,68.773,69.005,68.718
68.846,68.688,68.904,68.64
68.65,68.54,68.77,68.521
68.545,68.535,68.615,68.477
68.56,68.46,68.695,68.433
68.41,68.414,68.495,68.28
68.419,68.62,68.695,68.318
68.565,68.665,68.858,68.513
68.566,68.582,68.767,68.497
68.45,68.539,68.785,68.385
68.527,68.817,68.914,68.48899999999999
68.8,68.885,68.96300000000001,68.795
68.89,68.92399999999999,69.075,68.87
68.885,68.944,69.09,68.83
68.95,69.048,69.125,68.866
69.08800000000001,69.21,69.35300000000001,69.03
69.245,69.32,69.518,69.11
69.334,69.266,69.439,69.238
69.273,69.62899999999999,69.63,69.264
69.615,69.755,69.76,69.50399999999999
69.52,69.49,69.675,69.334
69.65,69.55,69.808,69.5
69.61,69.868,69.891,69.609
69.85,69.81,69.982,69.74
69.833,69.566,69.865,69.53
69.53,69.37899999999999,69.58,69.314
69.375,69.414,69.455,69.257
69.385,69.53399999999999,69.53399999999999,69.342
69.535,69.375,69.685,69.375
69.355,69.146,69.551,69.11399999999999
69.165,69.405,69.46,69.165
69.385,69.334,69.423,69.178
69.291,69.068,69.343,69.033
69.171,69.618,69.622,69.128
69.58,69.839,69.92699999999999,69.58
69.825,69.835,69.935,69.703
69.845,69.587,70.003,69.579
69.61,69.516,69.755,69.516
69.50399999999999,69.41199999999999,69.633,69.362
69.38,69.699,69.811,69.377
69.665,69.666,70.065,69.375
69.65,69.668,69.811,69.61399999999999
69.645,69.817,69.825,69.62
69.609,69.405,69.778,69.373
70.28,70.22,70.288,70.067
70.13,70.219,70.342,69.96600000000001
70.249,70.322,70.442,70.17399999999999
70.332,70.596,70.616,70.252
70.57,70.015,70.65100000000001,69.984
70.015,70.09100000000001,70.11399999999999,69.756
70.2,69.719,70.27600000000001,69.719
69.72,69.596,69.751,69.44800000000001
69.645,69.421,69.646,69.285
69.38,69.31,69.485,69.31
69.095,69.436,69.441,69.095
69.41,69.62,69.634,69.32
69.545,69.601,69.60300000000001,69.46600000000001
69.64699999999999,69.831,69.913,69.536
69.817,69.87899999999999,69.895,69.797
69.85,70.173,70.247,69.81
70.17,70.01,70.335,69.92
69.96,69.779,70.0,69.762
69.77,69.63,69.84,69.54
69.7,69.366,69.906,69.366
69.407,69.416,69.429,69.355
69.395,69.417,69.619,69.33
69.431,69.547,69.57,69.362
69.53,69.422,69.69,69.422
69.395,69.17399999999999,69.483,69.045
69.19,69.03,69.39,69.03
69.02,69.164,69.222,68.837
69.15,69.258,69.366,69.09
69.28,69.538,69.74,69.248
69.555,69.335,69.72,69.335
69.17,68.992,69.33800000000001,68.986
68.98,68.54,69.22,68.52
68.45,68.73,68.835,68.39
68.92,69.28,69.39,68.72
69.205,69.35600000000001,69.42399999999999,69.185
69.185,69.178,69.32,69.042
69.19,69.124,69.38,68.95
69.1,69.039,69.187,68.78
68.99600000000001,68.931,69.017,68.779
68.89,69.15899999999999,69.176,68.795
69.17,68.65,69.17,68.54
68.81,68.565,68.81,68.51
68.79,69.027,69.176,68.73100000000001
69.015,68.619,69.067,68.35
68.625,68.959,68.959,68.431
68.96300000000001,69.357,69.372,68.935
